sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2023 Wolf Chart?,Official Tree?,Book?,notes
1423,Hook,F,b,2006?,?,Slough Creek?,380F? or Black Female?,490M?,Location Unknown,Slough Creek,-,N/A,2009,unknown,N/A,Unknown,,,,Yes,Yes,
1424,SAF,F,g,2007?,?,?,?,?,Location Unknown,None,Silver,N/A,2010,unknown,N/A,Unknown,Silver Alpha Female,,,Yes,Yes,
1425,sw147,M,b,2007?,?,Agate Creek,472F,113M,"Antelope Creek Area, YNP",Silver,Lava Creek,2010,N/A,October 31,Wolf,Unknown,,,,Yes,Yes,
1426,Be F,F,g,2008,April,Bechler,Black and Silver Aplha Female,192M,Location Unknown,Bechler,-,N/A,2017,April,N/A,Unknown,Bechler Female,,,Yes,Yes,in tree as 'White Alpha Female - Bechler'
1427,WhAF,F,g,2008,April,Bechler,Black and Silver Aplha Female,192M," Bechler Area, Southwestern YNP",Bechler,-,N/A,2019,unknown,N/A,unknown,White Alpha Female,,,Yes,No,
1428,Triangle,M,b,2008,April,Druid Peak,569F,480M,"Soda Butte Creek, YNP",None,-,N/A,2010,unknown,N/A,Unknown,,,,Yes,Yes,
1429,RT,F,g,2009,April,Mollie's,486F,495M,"Pelican Valley, YNP",Junction Butte,-,N/A,2013,unknown,N/A,Unknown,Ragged- Tail,,,Yes,Yes,
1430,TS,F,g,2009,April,Quadrant Mountain,469F,695M,"Quadrant Mountain Area, YNP",Prospect Peak,8-Mile,N/A,2015,unknown,N/A,Unknown,Third Sister,,,Yes,Yes,
1431,WpAF,F,g,2010,April,Canyon,Canyon Alpha Female,712M,"Hayden Valley, YNP",Wapiti Lake,-,N/A,2021,September,N/A,"Hayden Valley Area, YNP",Wapiti Alpha Female,,,Yes,Yes,most likely died of old age
1432,MG,F,g,2010,April,Lamar Canyon,832F,755M,"Slough Creek Area, YNP",None,-,N/A,2013,November,N/A,Northeast YNP,Middle Gray,,,Yes,Yes,
1433,sw763,M,b,2010?,?,?,?,?,Location Unknown,Junction Butte,"8-Mile, Prospect Peak",N/A,2017,Febuary,N/A,"Little America, YNP",,,,Yes,Yes,
1434,Mottled,M,b,2012?,?,8-Mile?,?,?,Location Unknown,Lamar Canyon,Prospect Peak,N/A,2016,unknown,N/A,Unknown,,,,Yes,Yes,
1435,BAM CC,M,b,2012?,?,Cougar Creek,478F,689M,"Madison Valley Area, YNP",8-Mile,-,N/A,2019,unknown,N/A,Unknown,Black Alpha Male,,,Yes,Yes,
1436,CAF,F,b,2013,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2019,unknown,N/A,Unknown,Cougar Alpha Female,,,Yes,Yes,
1437,BAF,F,b,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2019,April,N/A,"Blacktail Deer Plateau, YNP",Black Alpha Female,,,No,Yes,same wolf as Brindle Alpha Female?
